experiment_type,trial_number,start_time,wall-time-seconds
native,1,2025-02-17T22:17:19.695379,19.17
wasm_aot,1,2025-02-17T22:17:39.082218,17.79
wasm_interpreted,1,2025-02-17T22:17:56.888427,43.55
docker,1,2025-02-17T22:18:40.455500,22.46
wasm_aot,2,2025-02-17T22:19:03.193851,16.49
wasm_aot,3,2025-02-17T22:19:19.697541,17.19
wasm_aot,4,2025-02-17T22:19:36.904166,16.98
wasm_aot,5,2025-02-17T22:19:53.900560,16.69
wasm_interpreted,2,2025-02-17T22:20:10.611540,41.15
docker,2,2025-02-17T22:20:51.776428,22.5
docker,3,2025-02-17T22:21:14.487502,16.4
wasm_interpreted,3,2025-02-17T22:21:31.100867,41.73
docker,4,2025-02-17T22:22:12.845850,20.36
wasm_interpreted,4,2025-02-17T22:22:33.429704,42.14
native,2,2025-02-17T22:23:15.581213,16.11
native,3,2025-02-17T22:23:31.705079,14.7
native,4,2025-02-17T22:23:46.417582,15.22
docker,5,2025-02-17T22:24:01.653036,20.19
native,5,2025-02-17T22:24:22.077679,15.11
wasm_interpreted,5,2025-02-17T22:24:37.197665,40.72
native,6,2025-02-17T22:25:17.932297,14.53
docker,6,2025-02-17T22:25:32.468938,22.13
docker,7,2025-02-17T22:25:54.863612,16.11
docker,8,2025-02-17T22:26:11.200659,16.79
wasm_interpreted,6,2025-02-17T22:26:28.238352,41.37
native,7,2025-02-17T22:27:09.617983,16.51
wasm_interpreted,7,2025-02-17T22:27:26.144741,40.2
wasm_interpreted,8,2025-02-17T22:28:06.357888,40.5
docker,9,2025-02-17T22:28:46.878332,24.86
docker,10,2025-02-17T22:29:11.972330,15.76
native,8,2025-02-17T22:29:27.937785,14.31
native,9,2025-02-17T22:29:42.256872,14.92
native,10,2025-02-17T22:29:57.185352,15.07
docker,11,2025-02-17T22:30:12.275281,16.94
docker,12,2025-02-17T22:30:29.472927,16.89
wasm_aot,6,2025-02-17T22:30:46.585770,16.55
native,11,2025-02-17T22:31:03.143992,16.2
wasm_aot,7,2025-02-17T22:31:19.358459,16.5
wasm_aot,8,2025-02-17T22:31:35.873818,16.39
wasm_aot,9,2025-02-17T22:31:52.272178,16.17
docker,13,2025-02-17T22:32:08.461480,21.71
wasm_interpreted,9,2025-02-17T22:32:30.406645,40.5
wasm_aot,10,2025-02-17T22:33:10.913587,15.91
wasm_interpreted,10,2025-02-17T22:33:26.840954,40.3
docker,14,2025-02-17T22:34:07.149166,19.8
docker,15,2025-02-17T22:34:27.163059,15.87
docker,16,2025-02-17T22:34:43.277965,16.56
wasm_aot,11,2025-02-17T22:35:00.043033,16.13
wasm_aot,12,2025-02-17T22:35:16.193596,16.1
wasm_interpreted,11,2025-02-17T22:35:32.302974,40.35
wasm_interpreted,12,2025-02-17T22:36:12.668770,40.07
wasm_interpreted,13,2025-02-17T22:36:52.746998,39.89
native,12,2025-02-17T22:37:32.654071,14.14
native,13,2025-02-17T22:37:46.817594,14.5
docker,17,2025-02-17T22:38:01.328692,20.09
native,14,2025-02-17T22:38:21.650038,14.73
docker,18,2025-02-17T22:38:36.389248,16.4
wasm_aot,13,2025-02-17T22:38:53.043920,15.97
wasm_interpreted,14,2025-02-17T22:39:09.029957,41.02
wasm_interpreted,15,2025-02-17T22:39:50.060758,40.17
native,15,2025-02-17T22:40:30.247671,14.28
wasm_interpreted,16,2025-02-17T22:40:44.536602,40.49
wasm_interpreted,17,2025-02-17T22:41:25.040655,39.63
wasm_aot,14,2025-02-17T22:42:04.682942,14.63
docker,19,2025-02-17T22:42:19.329456,20.17
native,16,2025-02-17T22:42:39.735284,14.46
wasm_aot,15,2025-02-17T22:42:54.208527,15.34
wasm_aot,16,2025-02-17T22:43:09.562614,16.2
wasm_aot,17,2025-02-17T22:43:25.779990,15.72
native,17,2025-02-17T22:43:41.516616,15.08
wasm_interpreted,18,2025-02-17T22:43:56.605703,40.33
native,18,2025-02-17T22:44:36.949682,14.57
native,19,2025-02-17T22:44:51.532221,15.19
docker,20,2025-02-17T22:45:06.732884,20.84
wasm_interpreted,19,2025-02-17T22:45:27.792019,40.21
wasm_aot,18,2025-02-17T22:46:08.019109,15.88
native,20,2025-02-17T22:46:23.930177,14.71
wasm_interpreted,20,2025-02-17T22:46:38.656547,40.29
wasm_aot,19,2025-02-17T22:47:18.959583,15.3
wasm_aot,20,2025-02-17T22:47:34.277237,15.44
