"metric","wasm_interpreted-value","native-value","statistically-significant","effect-size"
"cpu-cycles","338,497,877,434.13-360,513,844,052.47","23,534,366,247.16-25,495,339,397.64","True","13.81x-14.71x"
"instructions","296,090,131,079.61-321,948,319,476.39","25,660,714,545.45-27,941,722,301.25","True","11.05x-12.01x"
"cache-misses","158,173,139.22-171,398,984.58","34,099,804.15-37,822,460.35","True","4.39x-4.77x"
"cache-references","189,163,081,089.72-206,354,648,768.28","4,917,082,070.20-5,376,452,500.00","True","36.75x-40.09x"
"bus-cycles","169,463,692,296.26-182,767,433,113.64","11,828,129,602.60-12,940,503,863.30","True","13.68x-14.76x"
"page-faults","46,267.13-46,906.47","33,022.60-33,613.80","True","1.39x-1.41x"
"branch-instructions","33,769,007,871.91-37,069,424,013.79","3,710,478,222.09-4,102,249,190.21","True","8.64x-9.49x"
"branch-misses","1,949,335,572.12-2,089,077,275.68","129,738,717.50-141,453,058.90","True","14.37x-15.41x"
"major-faults","-15.07-148.87","-11.54-72.44","False","-0.76x-5.16x"
"minor-faults","46,268.58-46,771.22","32,979.81-33,595.69","True","1.39x-1.41x"
"avg-memory-over-time-in-bytes","121,212,585.65-132,715,781.72","56,717,565.26-67,073,229.10","True","1.93x-2.17x"
"max-memory-over-time-in-bytes","140,748,007.16-153,850,239.24","97,805,860.94-108,228,673.46","True","1.35x-1.51x"
"cpu-total-utilization-percentage","26.01-26.61","50.42-54.49","True","1.92x-2.07x"
"cpu-user-utilization-percentage","25.94-26.53","48.63-52.60","True","1.85x-2.01x"
"cpu-system-utilization-percentage","0.08-0.10","1.52-1.71","True","17.34x-19.52x"
"instructions-per-cycle","0.84-0.93","1.07-1.11","True","1.18x-1.29x"
"cycles-per-instruction","1.09-1.19","0.90-0.93","True","1.18x-1.30x"
"wall-time-seconds","268.03-268.23","6.44-6.73","True","40.67x-40.73x"
