metric,wasm_interpreted-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,338497877434.1309-360513844052.46906,24239701166.325386-26341368010.174614,True,13.38x-14.26x
instructions,296090131079.6115-321948319476.3885,26470717735.308918-29041880084.29108,True,10.67x-11.60x
cache-misses,158173139.21772748-171398984.58227253,35311883.382487535-38500576.81751247,True,4.28x-4.65x
cache-references,189163081089.72165-206354648768.27835,4964911889.544128-5407079562.855871,True,36.48x-39.79x
bus-cycles,169463692296.2587-182767433113.64133,12224939935.56518-13057477576.43482,True,13.40x-14.46x
page-faults,46267.12974769359-46906.47025230642,40064.34455978335-40385.35544021665,True,1.15x-1.17x
branch-instructions,33769007871.906097-37069424013.7939,3922481577.862963-4223275477.637037,True,8.29x-9.10x
branch-misses,1949335572.1190991-2089077275.680901,131065073.47000764-138932816.22999233,True,14.44x-15.48x
major-faults,-15.074894143026-148.874894143026,-9.946544351821075-59.446544351821075,False,-0.83x-6.24x
minor-faults,46268.582759067256-46771.21724093275,40036.399509644776-40363.80049035522,True,1.15x-1.16x
avg-memory-over-time-in-bytes,121212585.65109333-132715781.72190666,103322200.13956279-114488790.67143717,True,1.09x-1.24x
max-memory-over-time-in-bytes,140748007.164817-153850239.23518297,120225209.74588685-130171871.85411315,True,1.11x-1.24x
instructions-per-cycle,0.8411825248739996-0.9342436160795532,1.0696865600439782-1.1262338712889934,True,1.18x-1.30x
cycles-per-instruction,1.086508175473469-1.189498251926886,0.8895856061453731-0.9372934324543896,True,1.18x-1.31x
