metric,wasm_aot-value,docker-value,statistically-significant,effect-size
cpu-cycles,45558308878.507416-47541104028.69258,103340004356.639-111423112145.621,True,2.22x-2.40x
instructions,51650402344.929016-54899121272.570984,133234740582.6686-141058149472.18335,True,2.50x-2.65x
cache-misses,63476051.121520616-66351625.77847939,87554115.87769698-92670756.76930307,True,1.34x-1.43x
cache-references,9729995683.057598-10171178925.942402,24461309504.18332-26626366342.51368,True,2.46x-2.68x
bus-cycles,22360416678.206047-23503559841.49395,51526148162.38457-56054990545.152435,True,2.24x-2.45x
page-faults,54977.10852336264-55951.99147663736,39051.763205104864-40381.85079489512,True,1.38x-1.42x
branch-instructions,7978178607.834865-8428152074.865136,21236808106.965122-22720210069.59387,True,2.59x-2.77x
branch-misses,179755630.1425779-190620645.8574221,205014152.27455285-238077515.14644703,True,1.10x-1.29x
major-faults,25.38429705225684-214.71570294774315,98.4335382671133-305.7194617328867,False,0.55x-2.81x
minor-faults,54888.301109342785-55800.59889065721,38856.25762264592-40148.786377354074,True,1.38x-1.42x
avg-memory-over-time-in-bytes,134459980.86144733-156652550.82155263,94245790.98146047-118791973.28753953,True,1.22x-1.52x
max-memory-over-time-in-bytes,152786738.24127027-176083149.75872973,125300272.27228247-150904066.9277175,True,1.07x-1.31x
instructions-per-cycle,1.122918377342478-1.1653661776896955,1.2414391732081187-1.321161598357269,True,1.08x-1.16x
cycles-per-instruction,0.8588484672352432-0.8918381010092908,0.7599110554524393-0.8073767821352402,True,1.08x-1.15x
