"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","91,985,626,476.31-96,024,682,665.39","401,112,999,869.58-428,596,211,720.92","True","4.27x-4.56x"
"instructions","112,532,990,969.31-117,790,558,704.09","374,429,326,181.07-400,963,318,361.33","True","3.25x-3.48x"
"cache-misses","126,036,804.53-130,695,966.97","243,224,227.51-260,601,507.99","True","1.89x-2.03x"
"cache-references","20,890,934,219.65-21,855,128,793.75","203,954,647,044.78-222,633,928,316.12","True","9.54x-10.42x"
"bus-cycles","46,530,342,326.84-48,628,806,150.56","201,849,679,829.12-216,309,808,906.58","True","4.24x-4.55x"
"page-faults","95,846.53-97,782.77","102,081.26-103,905.84","True","1.05x-1.08x"
"branch-instructions","17,953,524,184.35-18,773,601,638.45","46,466,710,302.16-50,926,064,340.54","True","2.53x-2.77x"
"branch-misses","248,705,474.02-256,952,885.78","2,065,403,485.98-2,219,630,332.42","True","8.17x-8.78x"
"major-faults","69.49-247.11","46.20-112.60","False","0.82x-3.17x"
"minor-faults","95,707.84-97,604.76","102,008.63-103,819.67","True","1.05x-1.08x"
"avg-memory-over-time-in-bytes","228,384,621.79-250,415,428.29","228,228,659.21-250,567,693.80","False","0.94x-1.06x"
"max-memory-over-time-in-bytes","283,092,824.48-310,014,119.52","301,986,295.61-325,482,401.99","False","1.00x-1.12x"
"cpu-total-utilization-percentage","55.36-56.85","30.03-30.37","True","1.83x-1.88x"
"cpu-user-utilization-percentage","53.49-54.97","29.74-30.07","True","1.79x-1.84x"
"cpu-system-utilization-percentage","1.79-1.87","0.29-0.32","True","5.87x-6.17x"
"instructions-per-cycle","1.22-1.23","0.90-0.97","True","1.27x-1.35x"
"cycles-per-instruction","0.81-0.82","1.03-1.11","True","1.27x-1.36x"
"wall-time-seconds","17.47-18.78","276.67-277.22","True","15.24x-15.32x"
