metric,docker-value,native-value,statistically-significant,effect-size
cpu-cycles,257897858731.3114-280256272256.15247,128764753752.64627-135383281254.55374,True,1.95x-2.12x
instructions,320464024094.71185-350582570446.2171,159832275831.03766-169253697489.66235,True,1.94x-2.13x
cache-misses,218796392.7606417-236119050.0523582,170285893.36718965-175576217.33281034,True,1.26x-1.37x
cache-references,57425335394.94867-63764055205.69733,29215659897.93848-30705974457.46152,True,1.91x-2.13x
bus-cycles,125859156276.26129-137607686226.55066,64244743577.6161-67360192324.5839,True,1.91x-2.09x
page-faults,69438.252085309-71751.52091469099,67399.22334785266-68089.47665214735,True,1.02x-1.06x
branch-instructions,51069865559.86117-55714592811.535835,25559625238.62267-26899274942.577328,True,1.94x-2.13x
branch-misses,382788935.9731667-432413139.48683333,315356870.4645962-324921460.83540374,True,1.19x-1.35x
major-faults,369.50961735938125-587.5033826406188,52.30649989347559-256.8935001065244,True,2.16x-4.03x
minor-faults,68975.00476825496-71197.24723174504,67224.39020363204-67955.10979636796,True,1.02x-1.05x
avg-memory-over-time-in-bytes,260001683.05203444-296116632.33296555,237045748.27074918-272816878.84525067,False,0.99x-1.19x
max-memory-over-time-in-bytes,284691596.182239-329949248.61776096,251687870.45046115-291362267.1495389,True,1.02x-1.24x
cpu-total-utilization-percentage,44.22343445208691-48.7935655479131,55.460747546957485-57.03125245304252,True,1.16x-1.26x
cpu-user-utilization-percentage,42.28780284651459-46.675197153485406,53.76176838570818-55.34623161429184,True,1.17x-1.28x
cpu-system-utilization-percentage,1.9418880514613392-2.133111948538662,1.7273757648376138-1.7726242351623862,True,1.11x-1.22x
instructions-per-cycle,1.214838826293499-1.2810470643555398,1.2338967997058348-1.2571480057052644,False,0.97x-1.03x
cycles-per-instruction,0.7825452596304913-0.8249670390122535,0.7957850964978505-0.8105649679135706,False,0.97x-1.03x
