"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","39,102,472,223.18-40,571,890,732.52","41,438,872,462.21-43,228,066,389.49","True","1.03x-1.09x"
"instructions","44,989,681,165.96-46,805,793,342.54","46,903,249,582.83-49,214,404,554.77","True","1.02x-1.08x"
"cache-misses","56,114,348.49-58,646,551.11","58,555,658.62-61,049,652.18","True","1.01x-1.07x"
"cache-references","8,412,223,418.07-8,769,047,847.93","8,762,741,570.93-9,226,382,524.57","True","1.01x-1.08x"
"bus-cycles","19,912,410,093.25-20,695,334,023.95","20,457,055,195.67-21,603,070,612.13","True","1.00x-1.07x"
"page-faults","37,286.01-38,327.89","49,996.86-50,381.54","True","1.31x-1.34x"
"branch-instructions","6,929,158,265.68-7,303,866,941.72","7,176,846,214.76-7,630,869,648.54","True","1.00x-1.08x"
"branch-misses","180,985,165.53-189,133,436.67","180,723,088.16-187,764,771.14","False","0.98x-1.03x"
"major-faults","-5.43-67.53","-13.19-153.29","False","-0.62x-5.13x"
"minor-faults","37,261.92-38,289.88","49,938.72-50,299.58","True","1.31x-1.34x"
"avg-memory-over-time-in-bytes","79,005,505.24-88,147,918.04","128,273,760.54-141,027,034.25","True","1.52x-1.70x"
"max-memory-over-time-in-bytes","112,983,398.87-122,721,740.33","141,721,612.27-158,162,522.13","True","1.19x-1.35x"
"cpu-total-utilization-percentage","53.44-55.81","54.58-56.71","False","0.99x-1.05x"
"cpu-user-utilization-percentage","51.99-54.36","52.84-54.90","False","0.98x-1.04x"
"cpu-system-utilization-percentage","1.55-1.68","1.58-1.75","False","0.96x-1.10x"
"instructions-per-cycle","1.14-1.17","1.12-1.15","False","0.99x-1.04x"
"cycles-per-instruction","0.86-0.88","0.87-0.90","False","0.99x-1.04x"
"wall-time-seconds","9.14-9.86","9.70-10.21","True","1.00x-1.09x"
