"metric","native-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","90,950,832,754.38-94,890,235,338.92","169,349,205,815.02-201,765,204,093.65","True","1.82x-2.17x"
"instructions","111,804,873,446.31-117,100,892,908.29","214,079,009,059.19-258,584,534,073.82","True","1.87x-2.26x"
"cache-misses","119,144,796.70-123,658,103.60","149,499,945.06-170,454,309.91","True","1.23x-1.41x"
"cache-references","20,508,788,248.52-21,325,949,532.88","39,905,398,675.44-49,025,575,588.50","True","1.91x-2.34x"
"bus-cycles","45,524,496,565.87-47,185,729,799.03","86,538,862,919.30-103,016,728,233.50","True","1.87x-2.22x"
"page-faults","50,635.77-52,801.33","52,503.56-54,385.22","True","1.01x-1.06x"
"branch-instructions","17,900,322,742.93-18,691,053,550.67","34,428,561,875.05-40,872,244,464.30","True","1.88x-2.23x"
"branch-misses","248,953,480.54-257,232,140.96","305,636,387.18-365,788,217.23","True","1.21x-1.45x"
"major-faults","18.20-109.40","224.76-477.65","True","3.43x-7.58x"
"minor-faults","50,583.89-52,725.61","52,199.25-53,966.60","True","1.00x-1.05x"
"avg-memory-over-time-in-bytes","160,997,269.23-185,112,059.78","163,633,020.45-199,417,635.95","False","0.93x-1.17x"
"max-memory-over-time-in-bytes","188,687,612.89-218,010,780.71","190,441,543.11-229,468,498.49","False","0.92x-1.15x"
"cpu-total-utilization-percentage","52.58-57.36","42.41-49.28","True","1.11x-1.29x"
"cpu-user-utilization-percentage","51.10-55.83","40.55-47.15","True","1.13x-1.31x"
"cpu-system-utilization-percentage","1.60-1.73","1.86-2.14","True","1.11x-1.29x"
"instructions-per-cycle","1.22-1.24","1.24-1.31","True","1.00x-1.06x"
"cycles-per-instruction","0.81-0.82","0.77-0.81","True","1.00x-1.06x"
"wall-time-seconds","15.93-16.84","17.96-18.96","True","1.09x-1.17x"
