metric,wasm_aot-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,22592873140.87994-24123420584.02006,87822320879.83224-96247627134.16776,True,3.76x-4.12x
instructions,24261556941.119705-25982188775.58029,82027962174.21904-89257673476.98097,True,3.26x-3.56x
cache-misses,32625150.373107262-35880066.72689273,55950274.537808046-60752511.76219195,True,1.62x-1.79x
cache-references,4620847369.515931-5005953264.3840685,43001669983.60995-47213355079.29005,True,8.93x-9.81x
bus-cycles,11281180490.748688-12282536949.551311,44346591882.82358-49037382017.076416,True,3.76x-4.17x
page-faults,33260.71071769521-33577.989282304785,39500.61420173732-40015.38579826268,True,1.18x-1.20x
branch-instructions,3684903354.376921-4014578977.3230786,10195736625.15897-11493999452.741032,True,2.64x-2.99x
branch-misses,131710087.28178495-141451276.21821505,537323586.1182072-606591061.8817928,True,3.93x-4.44x
major-faults,-23.860646741974314-127.56064674197432,2.820730503497928-18.07926949650207,False,-2.31x-12.23x
minor-faults,33184.95521349159-33550.04478650841,39493.70090446267-40001.39909553734,True,1.18x-1.20x
avg-memory-over-time-in-bytes,75524935.6394688-89604396.5755312,97567495.8429307-103297271.47306928,True,1.13x-1.31x
max-memory-over-time-in-bytes,93665929.39349857-111348701.00650144,118024673.78329584-123838391.81670415,True,1.09x-1.27x
CPU-total-utilization-percentage,49.79764405786029-55.760355942139704,29.774667761810647-30.821332238189356,True,1.64x-1.84x
CPU-user-utilization-percentage,47.8940934544602-53.680906545539806,29.617445567669492-30.711554432330516,True,1.59x-1.78x
CPU-system-utilization-percentage,1.5228793784219172-1.7641206215780827,0.2874193725305356-0.3485806274694643,True,4.78x-5.56x
instructions-per-cycle,1.056195112337686-1.0959182740328894,0.89680590784235-0.9719421492833757,True,1.11x-1.20x
cycles-per-instruction,0.9135326131482739-0.9478503491853629,1.0329124175127087-1.1232638920976543,True,1.11x-1.21x
