"metric","wasm_interpreted-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","315,864,844,809.49-345,321,844,535.51","13,200,027,168.17-15,779,330,011.49","True","21.80x-23.84x"
"instructions","259,233,686,296.41-292,184,788,414.09","15,221,469,131.46-18,276,172,561.81","True","15.47x-17.45x"
"cache-misses","144,973,343.17-163,682,916.53","35,080,501.43-43,184,763.83","True","3.69x-4.20x"
"cache-references","180,237,649,497.53-204,535,476,253.07","3,629,088,523.60-4,404,068,774.70","True","44.87x-50.92x"
"bus-cycles","156,616,499,214.26-175,999,475,259.54","6,077,713,485.84-7,381,868,842.63","True","23.27x-26.15x"
"page-faults","107,868.10-109,029.80","50,507.34-51,832.55","True","2.10x-2.14x"
"branch-instructions","29,099,310,309.68-33,315,415,675.32","1,801,984,743.77-2,157,472,016.61","True","14.70x-16.83x"
"branch-misses","1,807,076,773.43-2,020,017,886.97","84,820,883.92-107,883,228.22","True","18.75x-20.97x"
"major-faults","82.79-220.51","222.23-472.92","True","1.37x-3.21x"
"minor-faults","107,727.06-108,867.54","50,244.31-51,375.47","True","2.12x-2.15x"
"avg-memory-over-time-in-bytes","242,923,994.56-265,115,679.39","126,977,079.83-147,356,145.96","True","1.75x-1.96x"
"max-memory-over-time-in-bytes","331,935,096.64-355,252,461.76","200,375,352.33-243,527,828.47","True","1.44x-1.66x"
"cpu-total-utilization-percentage","24.98-25.14","22.83-31.02","False","0.91x-1.24x"
"cpu-user-utilization-percentage","24.90-25.06","20.44-28.28","False","0.86x-1.19x"
"cpu-system-utilization-percentage","0.08-0.11","2.34-2.74","True","25.13x-29.48x"
"instructions-per-cycle","0.79-0.89","1.08-1.26","True","1.28x-1.51x"
"cycles-per-instruction","1.14-1.29","0.81-0.95","True","1.27x-1.49x"
"wall-time-seconds","266.43-266.51","5.42-5.55","True","48.55x-48.57x"
